id,locationId,name,status,address/street,address/city,address/state,address/zip,address/countryId,address/country,address/regionId,address/region,gps/latitude,gps/longitude,dateOpened,stallCount,counted,elevationMeters,powerKilowatt,solarCanopy,battery,statusDays,urlDiscuss, Region
1040,occhiobellosupercharger,"Occhiobello, Italy",OPEN,36 Via Eridania,Occhiobello,,45030,113,Italy,101,Europe,44.918787,11.594051,2017,8,true,6,150,false,false,0,false,Veneto
1005,moglianovenetosupercharger,"Mogliano Veneto, Italy",OPEN,1 Via BonfadiniMogliano VenetoItaly,Mogliano Veneto,,31021,113,Italy,101,Europe,45.584722,12.287137,2016,8,true,5,150,false,false,0,false,Veneto
950,moncalierisupercharger,"Moncalieri, Italy",OPEN,Via Guido Rossa 11,Moncalieri,,,113,Italy,101,Europe,44.973333,7.730113,2016,8,true,224,150,false,false,0,false,Piemonte
904,cepranosupercharger,"Ceprano, Italy",OPEN,27 Via Caragno,Ceprano,,03024,113,Italy,101,Europe,41.544226,13.511958,2016,8,true,98,150,false,false,0,false,Lazio
878,fanosupercharger,"Fano, Italy",OPEN,2/A Via Luigi Einaudi,Fano,,61032,113,Italy,101,Europe,43.802874,13.015345,2016,4,true,21,130,false,false,0,false,Marche
875,fortedeimarmisupercharger,"Forte dei Marmi, Italy",OPEN,"142 Via Giovan Battista Vico Forte dei Marmi,",Forte dei Marmi,,55042,113,Italy,101,Europe,43.956416,10.194539,2016,10,true,6,150,false,false,0,true,Toscana
813,maglianosabinasupercharger,"Magliano, Italy",OPEN,"Hotel la Pergola Via Flaminia, Km 64",Magliano,,,113,Italy,101,Europe,42.372085,12.471703,2016,8,true,59,150,false,false,0,true,Toscana
550,affisupercharger,"Affi, Italy",OPEN,Highway A22,Affi,,,113,Italy,101,Europe,45.551296,10.787143,2016,16,true,189,150,false,false,0,false,Veneto
781,cavagliasupercharger,"Cavaglià, Italy",OPEN,"Via Santhià, 75,Cavaglià BI",Cavaglià,,13881,113,Italy,101,Europe,45.38967,8.128911,2016,8,true,221,150,false,false,0,false,Piemonte
584,palmanovasupercharger,"Palmanova, Italy",OPEN,33041 Ioannis Aiello del Friuli,Palmanova,,,113,Italy,101,Europe,45.884158,13.344976,2015,16,true,18,250,false,false,0,false,Friuli Venezia Giulia
711,campogallianosupercharger,"Campogalliano, Italy",OPEN,"Best Western, Modena District, 160 Via del Passatore",Campogalliano,,41011,113,Italy,101,Europe,44.685971,10.851913,2015,8,true,42,150,false,false,0,false,Emilia Romagna
664,varazzesupercharger,"Varazze, Italy",OPEN,"Marina di Varazze, 24 Via Maestri d'Ascia",Varazze,,17019,113,Italy,101,Europe,44.351747,8.565401,2015,8,true,16,150,false,false,0,false,Liguria
656,melegnanosupercharger,"Carpiano, Italy",OPEN,"Ibis Styles Milano Melegnano via Dosetti, Localita' Francolino Carpiano",Carpiano,,20080,113,Italy,101,Europe,45.34834,9.282206,2015,8,true,87,150,false,false,0,false,Lombardia
603,brennerosupercharger,"Brennero, Italy",OPEN,by Plessi museum at the Brenner pass,Brennero,,,113,Italy,101,Europe,46.99533,11.502136,2015,16,true,1371,150,false,false,0,true,Trentino Alto Adige
634,arezzosupercharger,"Arezzo, Italy",OPEN,36t Localita' Battifolle,Arezzo,,52100,113,Italy,101,Europe,43.437399,11.777607,2015,8,true,264,150,false,false,0,false,Toscana
464,aostasupercharger,"Aosta, Italy",OPEN,"Località Autoporto, 33B",Pollein,,,113,Italy,101,Europe,45.73745,7.371416,2015,16,true,539,150,true,false,0,false,Valle d'Aosta
475,veronasupercharger,"Verona, Italy",OPEN,"Verona Crowne Plaza, Via Belgio 16",Verona,,37135,113,Italy,101,Europe,45.412326,10.970212,2014,10,true,61,150,false,false,0,true,Veneto
457,modenasupercharger,"Modena, Italy",OPEN,1684 Strada Vignolese,Modena,,41126,113,Italy,101,Europe,44.574119,10.981157,2014,12,true,47,150,false,false,0,false,Emilia Romagna
301,dornosupercharger,"Dorno Ovest, Italy",OPEN,"Autostrada A7 Milano-Genova, Dorno Autogrill area",Dorno,,27020,113,Italy,101,Europe,45.147886,8.990914,2014,12,true,87,150,false,false,0,false,Lombardia
1960,dornoestsupercharger,"Dorno Est, Italy",OPEN,"Autostrada A7 Genova-Milano, Dorno Autogrill area",Dorno,PV,,113,Italy,101,Europe,45.1473468,8.9912729,2014,6,true,88,150,false,false,0,false,Lombardia
3527,Bergamoitsupercharger,"Bergamo, Italy",PERMIT,Stezzano Business Park,Stezzano,,24040,113,Italy,101,Europe,45.65885,9.645675,,4,true,215,250,false,false,31,true,Lombardia
